geneID	heart1	heart2	heart3	heart4	stomach1	stomach2	stomach3	stomach4
ENSG00000145626	3.1082565715222996	2.077937479736515	3.3685132240552376	2.6261730002203487	2.5951883644766243	1.7548820061276325	2.6976673579623656	3.434142560705791
ENSG00000168671	11.680938643043065	12.285579703860321	12.560602849794755	9.071828062762751	11.329863188382244	8.236359163296946	10.907695728449138	7.7977303867012235
ENSG00000164187	3.73690163927776	4.4078524279687565	2.6528707787392367	7.81035747221261	2.2965479806136115	3.1109875128289546	3.146808771095773	4.131086004239832
ENSG00000145604	38.350914811521356	35.06767114874322	34.933267908933715	39.99627677130715	34.047209577946965	26.20335352821253	31.70076619400425	35.28515254673293
ENSG00000152620	5.951044547102847	6.6486611328422285	6.388955863199158	11.109534664830846	8.289896918956273	10.18575619509706	11.51055562392493	16.284923858652494
ENSG00000079215	6.410173110453348	8.097151035556909	7.393820244858456	10.039231351085627	2.223990078370254	2.2953889040655158	4.284811439338683	6.7888411331200125
ENSG00000164190	6.578127995392369	9.060645158967487	7.813951395906683	9.036029367562666	6.833957386053556	7.9143271114138845	6.9989123546491125	8.849484096439252
ENSG00000197603	2.43384655425983	2.30775637046058	2.0823039896626354	3.10854266409094	3.8828117551073142	2.8190445408806437	4.285643139077038	2.9222487397754424
ENSG00000113569	30.382188100941338	31.49158252840301	28.82126469391779	24.406651190867397	51.97243061894167	54.526531706011006	51.395302517859925	47.25911700678538
ENSG00000082068	13.667217386261473	14.853034936334016	16.241985910560416	15.01135357528718	25.155283904979328	22.473234704587497	24.609862241244674	28.220388056039077
ENSG00000168621	0.0	0.0	0.0	0.16822114784407466	0.0	0.1523373770660958	0.0	0.08850147312702918
ENSG00000164318	0.1570752156551763	0.054039315886217236	0.0	0.12557808608276222	0.36585901705400975	0.1888022649843586	0.3342083781306193	0.21937201365342754
ENSG00000113594	4.597548136172782	5.370881245055441	3.821367441582184	7.846068858187469	2.6557845362403216	2.741045661742351	2.151784321687836	5.261941949534536
ENSG00000145623	1.0861705182913275	0.7761052124879753	1.4196169371026428	0.9518657882643496	1.3221259549588686	0.8187428378314121	1.913073156551819	1.9660382836482848
ENSG00000164327	5.551629326862668	7.875701861681482	6.109871778376714	6.5780303784117065	10.305738374447186	12.292589625782465	10.214671510565678	11.766768804004862
ENSG00000153071	0.9320705293873051	1.0020767271371889	1.4900141570019378	2.5615195711141117	1.3014980758668928	1.404339521328913	2.5291248701921734	3.1215549199032924
ENSG00000113638	4.9649677167744635	4.852272646562044	4.575582669949843	5.111015216211691	9.670089345893444	10.056147364861914	6.584991573599777	14.144248756144545
ENSG00000171522	0.2269877643045264	0.1561833093323441	0.6635230208581646	0.5444147675367818	0.0754910608236968	0.4674877241300365	0.1655047031246341	0.27159028894372705
ENSG00000132356	6.1647773957733225	5.749987411883334	7.258325640232793	6.954802569076019	5.277216629987799	5.686048605380652	6.80192945436468	6.884876887484071
ENSG00000145592	108.58731226329027	132.06752785796084	108.03145425219317	124.9738387729343	276.45411999871305	317.0326491110852	280.29436397877794	315.59894989177377
ENSG00000132357	0.681290091998355	0.9844270556621744	0.14936432630252272	0.8987154594356718	0.4986680723295779	0.2573386390455137	0.956608922594339	0.5232594377250537
ENSG00000182836	0.0	0.12003144902316935	0.08498948019723157	0.09297748864800556	0.0	0.4031116995647795	0.8562819349324032	0.9367623345843582
ENSG00000083720	32.94265016397357	37.319134079911784	44.17957447213946	42.07620430212517	32.983035547341245	32.68326308186001	32.70838188545112	33.06380913935146
ENSG00000205765	43.083149441409034	45.854124632738035	43.394786625442464	45.925339455605204	49.98732023958031	52.86598901032609	48.768584932984325	59.00369356748316
ENSG00000151876	3.0825099056311767	1.4367931711539168	2.7250069318380783	8.227906198889091	7.101884158058682	2.9319530249545736	7.784996106691913	12.98795818987014
ENSG00000112964	0.13602095830714508	0.0	0.0994029760067772	0.16311852452444725	0.27301253606930204	0.21133298392123034	0.14963645443060747	0.6548020630724035
ENSG00000198865	14.063427964640713	24.52209968058771	26.236185655044373	45.25291063344503	0.6002994721483752	1.2391428908671307	1.1515712818812174	1.0798331969019492
ENSG00000172262	16.96279527108699	18.088525126595627	16.62694530151877	36.25275368187594	37.36880884478319	41.74674463995997	35.854220058606685	86.6323495407318
ENSG00000112972	180.5080851729596	180.38245491533047	243.0763210141738	49.836606232348004	204.23171448484402	195.70160301148982	279.09843881799264	38.12916112207584
ENSG00000151882	0.0	0.0	0.0	0.0	1.2567773754685894	1.8159748187830185	1.0102866068566916	0.8038120936401799
